Code,Collector,Number,Date,Bag,T3,T4,GC
574,JK,675,10/30/2021,16,186.5,106.3,139.2
575,JK,679,11/1/2021,16,149.1,230.2,58.1
576,JK,680,11/1/2021,16,156.7,115.6,29.7
577,JK,681,11/1/2021,16,95.1,146.1,107.1
578,JK,682,11/1/2021,16,75,74.7,67.4
579,JK,683,11/1/2021,16,40.3,74.3,200.8
580,JK,684,11/1/2021,16,157.9,154.1,77.4
581,JK,685,11/1/2021,16,186.5,164.3,76.7
582,JK,686,11/2/2021,16,2.7,38.5,11.6
583,JK,687,11/2/2021,16,164.7,317.4,40.6
584,JK,688,11/2/2021,16,45.7,113.8,36
585,JK,689,11/2/2021,16,27.2,57,65.7
586,JK,690,11/3/2021,16,266,156.6,75.8
587,TC,01,11/10/2021,16,10.6,52.7,7.2
588,TC,01,11/11/2021,16,47.7,41.1,365.6
589,TC,04,11/11/2021,16,16.7,40.1,52.5
590,JK,691,11/3/2021,16,88.4,68.4,206.1
591,TC,05,11/11/2021,16,48.8,56.7,164.3
592,TC,06,11/11/2021,16,66,82.2,51
593,JK,426,7/29/2021,34,764.7,313.1,219.1
594,JK,427,7/29/2021,34,60.3,129.2,116.4
595,TC,01,8/6/2021,34,21.3,25.2,195.9
596,TC,02,8/6/2021,34,72.1,70.2,103.7
597,TC,03,8/6/2021,34,70.8,87.8,114.4
598,TC,15,8/6/2021,34,244.2,158,548
599,TC,01,8/9/2021,34,285.1,261.2,45.1
600,TC,07,8/9/2021,34,8.9,16.4,59
601,JK,435,8/11/2021,34,141,68.8,141.3
602,JK,434,8/12/2021,34,109.4,87,134.1
603,JK,523,8/31/2021,34,74.5,73.4,271.2
604,JK,447,8/17/2021,34,126.2,103.3,22.1
605,JK,558,9/8/2021,34,46.7,32.9,33.6
606,JK,561,9/9/2021,34,42.5,47.8,57.9
607,TC,02,9/13/2021,34,43.2,66.4,43.4
608,TC,04,9/13/2021,34,95.7,45.8,38.7
609,JK,569,9/14/2021,34,209.1,152.7,127.5
610,TC,01,9/14/2021,34,111.7,123.3,34
611,TC,01,9/15/2021,34,139.9,83,416.7
612,JK,575,9/17/2021,34,56.5,41.4,12
613,JK,654,10/9/2021,15,21.9,30.7,82.4
614,JK,655,10/9/2021,15,5.4,21.9,14.2
615,JK,656,10/21/2021,15,122.5,181.8,305.3
616,JK,657,10/20/2021,15,50.3,44.4,138.4
617,JK,658,10/20/2021,15,168.7,244.9,206.8
618,JK,659,10/20/2021,15,57.9,85.7,80.8
619,JK,660,10/20/2021,15,59.1,55.9,153.9
620,JK,661,10/21/2021,15,36.2,27.6,82.2
621,JK,662,10/21/2021,15,151.9,159,229.4
622,JK,663,10/21/2021,15,228.6,218.2,59
623,JK,664,10/22/2021,15,135.1,135.6,72.7
624,JK,665,10/22/2021,15,126.1,169.2,103.6
625,JK,666,10/22/2021,15,160.2,190,82
626,JK,667,10/24/2021,15,26.7,46.7,289.6
627,JK,668,10/25/2021,15,52.3,72.6,255.6
628,JK,669,10/25/2021,15,28.5,53,20.5
629,JK,670,10/26/2021,15,10.7,24.1,21
630,JK,671,10/26/2021,15,50.9,73.5,9.4
631,JK,672,10/26/2021,15,65.3,33.5,196
632,JK,673,10/27/2021,15,43,44.3,23.3
633,JK,701,11/10/2021,18,46.7,23.4,148.1
634,JK,702,11/11/2021,18,120.5,79,285
635,JK,703,11/14/2021,18,112.2,91.2,74.9
636,JK,704,11/15/2021,18,139.3,128.5,23.2
637,JK,707,11/19/2021,18,186.6,403.4,73.5
638,JK,708,11/19/2021,18,84,156.9,86.5
639,JK,709,11/19/2021,18,56.7,52.5,69.1
640,JK,710,11/19/2021,18,227,316.5,363.3
641,JK,711,11/21/2021,18,112.1,113.5,121.1
642,JK,712,11/24/2021,18,1093.5,704.6,310.1
643,JK,713,11/26/2021,18,90.8,86.1,97.6
644,JK,714,11/30/2021,18,207.5,243.2,103.7
645,JK,715,11/30/2021,18,155.4,154.5,33.4
646,JK,716,12/2/2021,18,122.1,73,243.2
647,JK,717,12/3/2021,18,136.4,169.3,192.8
648,JK,718,12/4/2021,18,85.7,22.9,84.4
649,JK,719,12/6/2021,18,107.7,59.7,154.1
650,JK,720,12/7/2021,18,88.7,75.3,244.9
651,JK,721,12/7/2021,18,91,92.1,31.8
652,JK,723,12/8/2021,18,295,125.5,184.3
653,JK,497,8/28/2021,9,129.5,93.1,31.8
654,JK,498,8/28/2021,9,178,75.4,53.7
655,JK,499,8/28/2021,9,165,125,45.6
656,JK,500,8/28/2021,9,284.5,143.3,31.8
657,JK,501,8/28/2021,9,240.9,96.4,41.3
658,JK,502,8/28/2021,9,114.9,70.9,14.8
659,JK,503,8/29/2021,9,171,274,9.5
660,JK,504,8/29/2021,9,60,70.9,16.4
661,JK,505,8/29/2021,9,100.6,88.2,15.7
662,JK,506,8/29/2021,9,118.8,85.2,9.7
663,JK,507,8/29/2021,9,56.4,56.4,81.2
664,JK,508,8/29/2021,9,54,47.5,32.7
665,JK,509,8/30/2021,9,43.1,44.8,72.4
666,JK,510,8/30/2021,9,41.3,41.4,39.3
667,JK,511,8/30/2021,9,81.3,103.2,146.6
668,JK,512,8/30/2021,9,29.6,32.3,372.9
669,JK,513,8/30/2021,9,75.9,66.6,224
670,JK,514,8/30/2021,9,23.7,31.7,33.2
671,JK,515,8/30/2021,9,89.9,135,40.7
672,JK,516,8/30/2021,9,5.8,16.2,34.1
673,JK,548,9/5/2021,11,101.1,45.9,45.4
674,JK,549,9/5/2021,11,236.4,217.1,198.8
675,JK,550,9/5/2021,11,109,170.1,329.6
676,JK,551,9/6/2021,11,268.9,257.1,96.9
677,JK,552,9/7/2021,11,196.4,175.5,44.8
678,JK,556,9/7/2021,11,274.8,133.9,1001.7
679,JK,559,9/9/2021,11,88.9,115.6,289.4
680,JK,560,9/9/2021,11,981.6,845.7,151.8
681,JK,562,9/11/2021,11,193.6,193.3,219.1
682,JK,563,9/11/2021,11,430.1,294.4,158.7
683,JK,564,9/12/2021,11,1339.1,630,208.9
684,JK,565,9/12/2021,11,172.1,254.7,115.1
685,JK,566,9/12/2021,11,106.4,130.3,64.8
686,JK,567,9/13/2021,11,68.7,42.3,61.1
687,JK,568,9/13/2021,11,285.8,215.6,200.1
688,JK,570,9/16/2021,11,264,245.2,518.7
689,JK,571,9/16/2021,11,149.3,129.4,108.5
690,JK,576,9/18/2021,11,36,53.3,59.8
691,JK,579,9/18/2021,11,32.3,45.1,14.3
692,JK,580,9/20/2021,11,74.1,81.8,15.6
693,DG,03,7/13/2021,2,271.8,323.7,144.1
694,JY,01,7/1/2021,2,89.1,81.1,31.8
695,JK,372,6/16/2021,2,439.4,299.6,96
696,JK,373,6/18/2021,2,84.2,127.1,57.2
697,JK,374,6/18/2021,2,509.5,364.5,463.2
698,JK,376,6/20/2021,2,203.4,206.1,163.4
699,JK,377,6/24/2021,2,129,100.4,149.9
700,JK,378,6/27/2021,2,285.8,329.4,647
701,JK,379,7/2/2021,2,93.3,91.8,17.9
702,JK,380,7/2/2021,2,87.7,135,189.6
