SampleID,Individual
S21_0083,SFCoy24
S21_0087,SFCoy24
S20_3647,SFCoy24
S21_0092,SFCoy24
S21_0094,SFCoy24
S21_0128,SFCoy24
S20_3687,SFCoy24
S20_3829,SFCoy24
S21_1200,SFCoy24
S21_1291,SFCoy24
S21_1289,SFCoy24
S21_1288,SFCoy24
S21_3279,SFCoy24
S22_0833,SFCoy24
S22_0835,SFCoy24
S22_0993,SFCoy24
S21_3427,SFCoy241
S21_3430,SFCoy242
S21_3431,SFCoy243
S22_0875,SFCoy245
S22_0876,SFCoy246
S22_0881,SFCoy247
S22_0882,SFCoy248
S22_0883,SFCoy249
S18_2345,SFCoy25
S18_1212,SFCoy25
S18_2359,SFCoy25
S18_2361,SFCoy25
S18_2360,SFCoy25
S22_0884,SFCoy250
S22_0885,SFCoy251
S22_0886,SFCoy252
S22_1017,SFCoy253
S22_3047,SFCoy254
S23_0159,SFCoy255
S23_0160,SFCoy256
S23_0161,SFCoy257
S23_0162,SFCoy258
S23_0164,SFCoy259
S21_0091,SFCoy26
S20_3693,SFCoy26
S20_3738,SFCoy26
S21_1083,SFCoy26
S23_2156,SFCoy260
S20_3696,SFCoy28
S20_3695,SFCoy28
S20_3744,SFCoy28
S20_3773,SFCoy28
S19_5659,SFCoy3
S21_0064,SFCoy31
S21_0080,SFCoy31
S21_0111,SFCoy31
S21_0124,SFCoy31
S21_0135,SFCoy31
S20_3707,SFCoy31
S20_3706,SFCoy31
S20_3705,SFCoy31
S20_3703,SFCoy31
S20_3702,SFCoy31
S20_3708,SFCoy31
S20_3748,SFCoy31
S20_3796,SFCoy31
S21_1091,SFCoy31
S21_1215,SFCoy31
S21_1284,SFCoy31
S21_3254,SFCoy31
S23_0163,SFCoy31
S18_1189,SFCoy32
S19_8762,SFCoy32
