SampleID,Replicate,FieldID,Site,Area,Initials,Year,Month,Day,Condition,Lat,Long,Geno.Sp,Cytb_Sp
S20_3766,None,20200810-TC-12,GLEN,Urban,TC,2020,8,10,fresh,37.74279,-122.44252,coyote,coyote
S20_3767,Yes original,20200810-TC-13,GLEN,Urban,TC,2020,8,10,<2 days,37.7429,-122.4426,NA,coyote
S20_3768,None,20200810-TC-14,STMA,Urban,TC,2020,8,10,not fresh,37.73453,-122.42084,NA,fail
S20_3769,None,20200810-TC-15,BERN,Urban,TC,2020,8,10,not fresh,37.74374,-122.41548,NA,coyote
S20_3770,None,20200810-TC-16,BERN,Urban,TC,2020,8,10,not fresh,37.7432,-122.41317,NA,coyote
S20_3771,None,20200810-TC-17,BERN,Urban,TC,2020,8,10,fresh,37.74312,-122.41281,NA,coyote
S20_3772,None,20200812-TC-01,GGPE,Urban,TC,2020,8,12,fresh,37.76996,-122.47398,NA,coyote
S20_3773,Yes original,20200812-TC-02,GGPE,Urban,TC,2020,8,12,fresh,37.77003,-122.47411,coyote,coyote
S20_3774,Yes original,20200812-TC-04,GGPE,Urban,TC,2020,8,12,fresh,37.77013,-122.47412,NA,coyote
S20_3775,Yes original,20200812-TC-05,GGPE,Urban,TC,2020,8,12,fresh,37.77025,-122.4742,NA,coyote
S20_3776,None,20200812-TC-06,GGPE,Urban,TC,2020,8,12,fresh,37.77038,-122.47424,coyote,coyote
S20_3777,Yes original,20200812-TC-07,GGPE,Urban,TC,2020,8,12,fresh,37.77023,-122.47397,coyote,coyote
S20_3778,None,20200812-TC-08,GGPE,Urban,TC,2020,8,12,fresh,37.77016,-122.47396,coyote,coyote
S20_3779,None,20200812-TC-09,PRES,Urban,TC,2020,8,12,<2 days,37.80628,-122.45016,NA,NA
S20_3780,None,20200812-TC-10,PRES,Urban,TC,2020,8,12,not fresh,37.79557,-122.45843,NA,coyote
S20_3781,Yes original,20200817-TC-01,LAKE,Urban,TC,2020,8,17,fresh,37.71886,-122.48959,NA,fail
S20_3782,None,20200817-TC-02,LAKE,Urban,TC,2020,8,17,<2 days,37.71812,-122.4885,coyote,coyote
S20_3783,None,20200817-TC-03,SFGC,Urban,TC,2020,8,17,fresh,37.71092,-122.47616,NA,coyote
S20_3784,Yes original,20200817-TC-04,SFGC,Urban,TC,2020,8,17,fresh,37.71108,-122.47597,NA,coyote
S20_3785,None,20200817-TC-05,SFGC,Urban,TC,2020,8,17,not fresh,37.70761,-122.47732,NA,coyote
S20_3786,None,20200817-TC-06,SFGC,Urban,TC,2020,8,17,not fresh,37.70748,-122.47726,coyote,coyote
S20_3787,Yes original,20200817-TC-07,SFGC,Urban,TC,2020,8,17,<2 days,37.70714,-122.47716,coyote,coyote
S20_3788,None,20200817-TC-08,SFGC,Urban,TC,2020,8,17,not fresh,37.70724,-122.47723,NA,fail
S20_3789,None,20200817-TC-09,MCLA,Urban,TC,2020,8,17,fresh,37.71718,-122.41383,NA,fail
S20_3790,None,20200817-TC-10,STMA,Urban,TC,2020,8,17,<2 days,37.73478,-122.42101,NA,coyote
S20_3791,None,20200817-TC-11,STMA,Urban,TC,2020,8,17,fresh,37.734,-122.41965,dog,dog
S20_3792,None,20200817-TC-12,GLEN,Urban,TC,2020,8,17,<2 days,37.7428,-122.4425,coyote,coyote
S20_3793,None,20200817-TC-13,GLEN,Urban,TC,2020,8,17,fresh,37.74266,-122.4424,coyote,coyote
S20_3794,None,20200818-TC-01,GGPE,Urban,TC,2020,8,18,not fresh,37.76999,-122.47399,NA,coyote
S20_3795,None,20200818-TC-02,BVP,Urban,TC,2020,8,18,not fresh,37.76602,-122.44231,NA,raccoon
S20_3796,None,20200818-TC-03,CHP,Urban,TC,2020,8,18,not fresh,37.76559,-122.43927,coyote,coyote
S20_3797,None,20200819-TC-01,PRES,Urban,TC,2020,8,19,not fresh,37.79219,-122.45156,coyote,coyote
S20_3798,None,20200819-TC-02,PRES,Urban,TC,2020,8,19,<2 days,37.79246,-122.45115,coyote,coyote
S20_3799,None,20200819-TC-03,PRES,Urban,TC,2020,8,19,fresh,37.79233,-122.4504,NA,coyote
S20_3800,None,20200819-TC-04,PRES,Urban,TC,2020,8,19,fresh,37.79233,-122.45067,coyote,coyote
S20_3801,None,20200819-TC-05,PRES,Urban,TC,2020,8,19,not fresh,37.79208,-122.45091,NA,coyote
S20_3802,None,20200819-TC-06,PRES,Urban,TC,2020,8,19,fresh,37.79216,-122.45056,coyote,coyote
S20_3803,Yes original,20200819-TC-07,PRES,Urban,TC,2020,8,19,fresh,37.79274,-122.45067,NA,coyote
S20_3804,None,20200819-TC-08,LEND,Urban,TC,2020,8,19,not fresh,37.78657,-122.49869,NA,coyote
S20_3805,None,20200819-TC-09,LEND,Urban,TC,2020,8,19,fresh,37.78589,-122.49987,NA,fail
S20_3806,None,20200824-TC-01,MCLA,Urban,TC,2020,8,24,not fresh,37.71781,-122.41247,NA,coyote
S20_3807,None,20200824-TC-04,MCLA,Urban,TC,2020,8,24,fresh,37.71718,-122.4139,coyote,coyote
S20_3808,None,20200824-TC-05,MCLA,Urban,TC,2020,8,24,not fresh,37.71712,-122.4138,NA,coyote
S20_3809,Yes original,20200824-TC-06,MCLA,Urban,TC,2020,8,24,fresh,37.71756,-122.42156,coyote,coyote
S20_3810,None,20200824-TC-07,MCLA,Urban,TC,2020,8,24,not fresh,37.71867,-122.41476,NA,coyote
S20_3811,None,20200824-TC-08,MCLA,Urban,TC,2020,8,24,not fresh,37.71204,-122.42736,NA,coyote
S20_3812,None,20200824-TC-09,MCLA,Urban,TC,2020,8,24,fresh,37.71227,-122.42717,coyote,coyote
S20_3813,None,20200824-TC-10,STMA,Urban,TC,2020,8,24,not fresh,37.73463,-122.42119,coyote,coyote
S20_3814,None,20200824-TC-11,STMA,Urban,TC,2020,8,24,fresh,37.73463,-122.4212,NA,fail
S20_3815,Yes original,20200824-TC-12,STMA,Urban,TC,2020,8,24,not fresh,37.73455,-122.42117,NA,coyote
S20_3816,None,20200824-TC-13,STMA,Urban,TC,2020,8,24,fresh,37.73398,-122.42019,coyote,coyote
